COUNTRY;Pb;Cu;Cd;Zn;Te;Au;Ni;Ti;Fe;In;Cr;Ag;Mo;Zr;Sn;W;Mn;Al;Ta;Si;Hf;Pd;Sb;Ge;Bi;As;La;Co;Sm;V;Y;Pt;Hg;Nb;Mg
Australia;0.0979955456570156;0.0168728908886389;0.00993983782369867;0.090311986863711;0;0.101973684210526;0.0448681996634885;0.0654878847413229;0.377841818764009;0;0;0.0465296626599457;0.0019040365575019;0.3125;0.0313037495700034;0.0102682582466949;0.150829562594268;0.0220718069452619;0.0178571428571429;0;0.3125;0;0.0276057419943348;0;0;0;0.0509453186912714;0.0200610553859573;0.0509453186912714;0;0.0509453186912714;0;0;0;0
Canada;0;0.0116235470566179;0.0470834423227832;0;0.0419906687402799;0.0657894736842105;0.0504767246214246;0.0545732372844357;0.0268972142170989;0.0374873353596758;0;0;0.00380807311500381;0;0;0;0;0.0441436138905238;0;0.00556606924190137;0;0.0774818401937046;0.000024004993038552;0.25;0;0;0;0.00915830789358918;0;0;0;0.0314285714285714;0;0.0840134421507441;0
United States;0.0601336302895323;0.0333708286464192;0.00575464295056239;0.061576354679803;0;0.0559210526315789;0.00476724621424565;0.0218292949137743;0.0179314761447326;0;0;0.0387747188832881;0.12947448591013;0.0625;0;0;0;0.011035903472631;0;0.00556606924190137;0.0625;0.0474576271186441;0;0.1;0;0;0.121702705762482;0.00218054949847362;0.121702705762482;0;0.121702705762482;0.0165714285714286;0;0;0.0505561172901921
China;0.423162583518931;0.449943757030371;0.235417211613916;0.328407224958949;0.668740279937792;0.121710526315789;0.0308468872686483;0.338354071163501;0.10886967659302;0.658561296859169;0;0.13183404420318;0.418888042650419;0.0875;0.233918128654971;0.808625336927224;0.0372046254399196;0.603296056503826;0.0328073089700997;0.734721139930981;0.0875;0;0.48009986077104;0.26;0.816326530612245;0.398406374501992;0.679270915883618;0;0.679270915883618;0.657004830917874;0.679270915883618;0;0.863557858376511;0;0.839231547017189
Russia;0.044543429844098;0.0374953130858643;0.0261574679571018;0.0254515599343186;0.116640746500778;0.101973684210526;0.0560852495793606;0;0.037143772014089;0.00506585612968592;0;0.0465296626599457;0.00647372429550648;0;0.00928792569659443;0.0256706456167373;0;0.0559152442613302;0.00830564784053156;0.069019258599577;0;0.445520581113801;0.0516107350328868;0;0;0.00332005312084993;0.00735876825540586;0.0383776711731356;0.00735876825540586;0.193236714975845;0.00735876825540586;0.131428571428571;0;0.00528084493518963;0.0202224469160768
Mexico;0.0601336302895323;0.0179977502812148;0.0287732147528119;0.0566502463054187;0;0.0394736842105263;0;0;0.00486711495357028;0;0;0.248158200853044;0.0571210967250571;0;0;0;0.0110608345902464;0;0;0;0;0;0.00840174756349321;0;0;0;0;0;0;0;0;0;0;0;0
Peru;0.0556792873051225;0.0149981252343457;0.0206643996861104;0.114942528735632;0;0.0296052631578947;0;0;0.00832532821005444;0;0;0.120201628538193;0.140898705255141;0;0.0791193670450636;0;0;0;0;0;0;0;0;0;0;0.448207171314741;0;0;0;0;0;0;0.0259067357512953;0;0
South Africa;0;0;0;0.0188834154351396;0.00777604976671851;0.0328947368421053;0;0.120061122025759;0.0249759846301633;0;0.434782608695652;0;0;0.25;0;0;0.361990950226244;0;0;0;0.25;0.343825665859564;0;0;0;0;0;0;0;0.0879227053140097;0;0.685714285714286;0;0;0
Brazil;0;0;0.0261574679571018;0;0;0.0197368421052631;0.0249579360628155;0.00589390962671906;0.179314761447326;0;0;0;0;0;0.0619195046439628;0;0.0311714429361488;0.0161859917598587;0.149501661129568;0.0434153400868307;0;0;0;0;0;0;0.000226423638627873;0;0.000226423638627873;0.0618357487922705;0.000226423638627873;0;0;0.900144023043687;0.0222446916076845
Chile;0;0.0749906261717285;0;0;0;0;0;0;0.00704450848543068;0;0;0.0542846064366033;0.175171363290175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
